"control 100uM + 500mM   25.00-95.00°C Ramp 1",,"2M DMSO  25.00-95.00°C Ramp 1",,"2M DMSO+ 3M urea  25.00-95.00°C Ramp 1",,"control 100uM + 500mM   25.00-95.00°C Ramp 3",,"2M DMSO  25.00-95.00°C Ramp 3",,"2M DMSO+ 3M urea  25.00-95.00°C Ramp 3",,,,,,,,,,
"Temperature (°C)",Abs,"Temperature (°C)",Abs,"Temperature (°C)",Abs,"Temperature (°C)",Abs,"Temperature (°C)",Abs,"Temperature (°C)",Abs,,T,"Normalized A",,,,,,
25.02000046,0.1314234436,25.02000046,0.1328348666,25.02000046,0.1386808455,24.95000076,0.1084751487,25.27000046,0.1078938991,25.37000084,0.1132421345,,25.02000046,0.998929019870785,6.716911039200227E-05,"Slope (top)",,,,
25.42000008,0.1313672811,25.52000046,0.1328098327,25.67000008,0.1387007684,25.54000092,0.1086449176,25.71999931,0.1079542041,25.76000023,0.1129474565,,25.42000008,0.9955564049430436,0.12976927267173996,"Intercept (top)",,,,
25.81999969,0.1314544827,25.87000084,0.132684201,25.96999931,0.1388070881,25.87000084,0.1088209525,25.92000008,0.1080534831,26.02000046,0.1131864041,,25.81999969,0.9980044174313026,0.00012718805683422494,"Slope (bottom)",,,,
26.21999931,0.1314865798,26.31999969,0.1328355968,26.42000008,0.1387238204,26.21999931,0.1088831127,26.31999969,0.1078869253,26.42000008,0.1133164242,,26.21999931,0.9982152345050287,0.10361705287927273,"Intercept (bottom)",,,,
26.56999969,0.1313768774,26.65999985,0.1328894198,26.77000046,0.1388621032,26.62000084,0.1090875864,26.67000008,0.1080963463,26.77000046,0.1132901534,,26.56999969,0.9927892336049321,,,,,,
27.02000046,0.1316223741,27.12000084,0.1330302507,27.17000008,0.1390029788,26.97999954,0.1094515324,27.06999969,0.1081311107,27.21999931,0.1133467406,,27.02000046,1.0015569198498424,,,,,,
27.42000008,0.1316179484,27.52000046,0.1330507547,27.62000084,0.1389298588,27.42000008,0.1095586196,27.52000046,0.1083321124,27.62000084,0.1134726778,,27.42000008,1.000281505554038,,,,,,
27.76000023,0.131593734,27.87000084,0.1332143098,27.96999931,0.1389521807,27.77000046,0.1098181456,27.92000008,0.1082399711,28.02000046,0.1136987656,,27.76000023,0.9983601634479908,,,,,,
28.15999985,0.1316179931,28.27000046,0.1330476999,28.37000084,0.1391012073,28.18000031,0.1098979861,28.31999969,0.1084012464,28.37000084,0.1137763262,,28.15999985,0.9982519189151738,,,,,,
28.57999992,0.1316685677,28.67000008,0.1332347542,28.76000023,0.1391606927,28.62000084,0.1100962013,28.67000008,0.1084345728,28.77000046,0.1137541607,,28.57999992,0.9991652722122355,,,,,,
28.96999931,0.1316880882,29.06999969,0.1330961585,29.21999931,0.1392687559,29.02000046,0.1103010476,29.12000084,0.1085413769,29.17000008,0.1138610095,,28.96999931,0.9988910403809853,,,,,,
29.37000084,0.1317532361,29.46999931,0.1331861019,29.62000084,0.1392086893,29.42000008,0.1104433686,29.52000046,0.1085612178,29.62000084,0.1139977947,,29.37000084,1.0004594852905913,,,,,,
29.77000046,0.1318619698,29.92000008,0.1332683861,30.02000046,0.1392905265,29.77000046,0.1105718389,29.87000084,0.1085923985,29.96999931,0.1139586866,,29.77000046,1.0038198621042218,,,,,,
30.21999931,0.1318147629,30.27000046,0.1332604289,30.37000084,0.1391901076,30.21999931,0.1106520891,30.27000046,0.1088415682,30.37000084,0.1141722053,,30.21999931,1.0006425947549316,,,,,,
